#z Image_ID mu bayes.sfh.sfr bayes.sfh.sfr_err bayes.stellar.m_star bayes.stellar.m_star_err Av Cluster total_rel_err_best cc_rate ia_rate lsst_II lsst_IIb lsst_IIn lsst_Ia lsst_Ib lsst_Ic lsst_Ic-BL roman_wide_IIP roman_wide_IIn roman_wide_IIL roman_wide_IIb roman_wide_Ib roman_wide_Ic roman_wide_Ic-BL roman_wide_Ia roman_deep_IIP roman_deep_IIn roman_deep_IIL roman_deep_IIb roman_deep_Ib roman_deep_Ic roman_deep_Ic-BL roman_deep_Ia cc_rate_err ia_rate_err lsst_II_err lsst_IIb_err lsst_IIn_err lsst_Ia_err lsst_Ib_err lsst_Ic_err lsst_Ic-BL_err roman_deep_IIL_err roman_deep_IIP_err roman_deep_IIb_err roman_deep_IIn_err roman_deep_Ia_err roman_deep_Ib_err roman_deep_Ic_err roman_deep_Ic-BL_err roman_wide_IIL_err roman_wide_IIP_err roman_wide_IIb_err roman_wide_IIn_err roman_wide_Ia_err roman_wide_Ib_err roman_wide_Ic_err roman_wide_Ic-BL_err
4.086 2.1 100.0 0.08921788650149956 0.10828026951627522 18827507.629207086 5761376.209136043 0.3140116342963751 RXJ1347 0.24922290331222038 0.00566947452508774 0.0030557424405817358 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001319829345190997 0.00014764723102729603 0.00023481128513156064 4.3638583924844144e-05 5.3315283574591496e-05 4.2870422311543985e-05 1.086565706937283e-05 0.0 0.001730987260491345 0.000156040024206834 0.00026228004068808267 0.0003458951380936014 0.0003534953857741747 0.0002474100252253965 3.610179755294023e-05 0.0017894191836766308 0.001755270658196986 0.0008200478639541889 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.12019628297701e-05 0.0005359140665697267 0.00010708921682636843 4.831002851897715e-05 0.0004802136985777217 0.00010944225531162973 7.659820251422578e-05 1.1177125088477765e-05 7.269762959179646e-05 0.00040861947843486365 1.3510515937517186e-05 4.571161775918443e-05 0.0 1.6506424445126843e-05 1.32726929197732e-05 3.364010006836678e-06
4.086 2.2 13.852291 0.6230191785810703 0.15381527207888668 33066199.798525356 8240854.315290445 0.5306589607050574 RXJ1347 0.24922290331222038 0.00566947452508774 0.0030557424405817358 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.3632558642020555e-05 7.113480732716511e-05 4.195653207608071e-05 0.0 0.0 0.0 2.7053183421721425e-06 0.0 0.0009849499602435858 0.00013724510929991033 0.00022295825470784983 8.94336232453004e-05 0.00013831561329889604 0.00012229630266308699 2.117523193986581e-05 0.001787023358633574 0.001755270658196986 0.0008200478639541889 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.902792856017682e-05 0.0003049407413963288 2.7688670977190835e-05 4.249111840421272e-05 0.0004795707480518938 4.2822546696303534e-05 3.7862964322460274e-05 6.555856832955236e-06 1.2989752286029619e-05 7.316645763006816e-06 0.0 2.2023353227067644e-05 0.0 0.0 0.0 8.37567200643412e-07
4.082296 2.3,2.4,2.5 30.013079 0.3038994128530503 0.22265868205664874 42414038.041081235 16457518.598628314 0.5536781420746497 RXJ1347 0.24922290331222038 0.00566947452508774 0.0030557424405817358 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0003090293382152638 0.00010601045304559732 9.758110059336621e-05 2.2359931127118922e-07 0.0 3.6658924513658085e-07 4.404841055530245e-06 0.0 0.001250254455966455 0.00014932318412369321 0.00025056611383173595 0.0002215394441407952 0.0002455892417684656 0.0001793864050322186 2.820143294878597e-05 0.0017907233203613769 0.001755270658196986 0.0008200478639541889 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.757532829561231e-05 0.0003870790762224991 6.858866447196709e-05 4.623049323549231e-05 0.0004805636804637692 7.60344875239319e-05 5.5538073562050354e-05 8.731170332465272e-06 3.0211131897352245e-05 9.567555643666826e-05 6.922639982429397e-08 3.282086141664541e-05 0.0 0.0 1.1349611727708827e-07 1.3637398359549074e-06
4.65981 39.1 6.017958 4.843086250080647 2.43120473075562 311836633.3110911 156591057.7385009 0.6568728871336109 RXJ1347 0.31600244353128454 0.014665337623028194 0.008310358491135508 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.18753281327793e-05 1.9517896128094878e-07 0.0 0.0 0.0 1.7931807642230665e-06 0.0 0.0003368552428070425 0.0002062468517285139 0.00020479052720536185 1.3956150172594252e-05 3.262974460321304e-05 3.473045490834994e-05 1.1730416530749136e-05 0.0019232800997743443 0.003784006376646402 0.0016466648450687111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.284083331331144e-05 8.691667519383166e-05 3.6010191244152793e-06 5.321659972413178e-05 0.00038109038628078785 8.419251218125489e-06 8.961284507399564e-06 3.026726836712783e-06 5.03608203956118e-08 0.0 0.0 1.0804831961712328e-05 0.0 0.0 0.0 4.6268334359005757e-07
4.66254 39.2 13.503658 2.6425692657003386 2.5899829142732496 213884154.99599993 88316329.44265682 0.7172561086008027 RXJ1347 0.31600244353128454 0.014665337623028194 0.008310358491135508 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.257210256671533e-05 1.2700692054512547e-05 0.0 0.0 0.0 4.104721633583064e-06 0.0 0.0011701017022263283 0.0002786889650364821 0.00035112020172808016 5.206760684429146e-05 0.00011678716611222519 8.899559410645968e-05 1.8950448864706858e-05 0.0033334119137549156 0.003784006376646402 0.0016466648450687111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.059737432993921e-05 0.000301914106334429 1.3434682608748143e-05 7.190839024006605e-05 0.0006605024582716201 3.0133870261888416e-05 2.2962982799896967e-05 4.889667131274367e-06 3.277081029940456e-06 0.0 0.0 2.1305569000670176e-05 0.0 0.0 0.0 1.059115939577635e-06
4.662417 39.3 3.710088 1.6115755629701312 0.2868293164274515 956802025.4104458 302351778.0053831 0.20783814833142125 RXJ1347 0.31600244353128454 0.014665337623028194 0.008310358491135508 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.004479142100886e-05 0.00010628353547470117 3.6901733066658264e-05 0.0 0.0 0.0 3.9169302544744075e-06 0.0 0.0008647786056319335 0.00025095060490874327 0.00028733848974392444 3.381455519133847e-05 7.233037277301957e-05 6.621985501906964e-05 1.549184568232861e-05 0.0026965429546502366 0.003784006376646402 0.0016466648450687111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.41401736117989e-05 0.00022313347583353686 8.724960567328935e-06 6.475123270990041e-05 0.000534309379237567 1.8662958796703262e-05 1.7086299687999896e-05 3.997265140074491e-06 9.521525983436936e-06 5.172033573679344e-06 0.0 2.7423683402779315e-05 0.0 0.0 0.0 1.0106612913252448e-06
4.65719 39.4 4.117972 6.171050408867233 3.6453432677989777 657503019.1196477 885222922.0527247 1.3238445651003048 RXJ1347 0.31600244353128454 0.014665337623028194 0.008310358491135508 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.785972238532754e-05 7.52866240388086e-06 0.0 6.487507506570551e-08 1.1090848681766963e-07 5.05663690787373e-07 0.0 0.003784006376646402 0.0016466648450687111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9425742029402193e-06 0.0 0.0 1.2348948203294823e-05 0.0 1.6739314432732013e-08 2.8617030997177098e-08 1.304732751173359e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2.12672 9.1 3.518873 11.236850272013976 10.816002965835848 3665434492.2979784 1046689440.14215 1.5676532664499587 RXJ1347 0.19444808439172398 0.15342323983433961 0.09621027639902716 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0005672521617269089 0.0 0.0 0.0 3.202476341576304e-06 0.0 0.0 0.0074859142314739665 0.0044251565080921885 0.005657917912413462 0.00258215065433545 0.006073948269998962 0.006571156756421843 0.0008591644530553238 0.09151543483503499 0.039810551806940285 0.017593448390382817 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0014681272173287568 0.00194245915192636 0.0006700213247272199 0.0011482479617132466 0.016734928325285534 0.0015760795596323149 0.001705096156002991 0.00022293761366252215 0.0 0.0 0.0 0.00014719166142242724 0.0 0.0 8.309846047084211e-07 0.0
2.12495 9.2 3.699191 20.29399987463748 21.689913060667173 7840174030.987181 2373404448.4446626 1.3786062236690064 RXJ1347 0.19444808439172398 0.15342323983433961 0.09621027639902716 0.0 0.0 2.4183558482619732e-06 0.0 0.0 0.0 0.0 0.0 0.001182169284166439 0.00013092948280781942 0.0 2.99442021082403e-05 0.00018335179609700893 1.8126394097800925e-05 0.005364891734555377 0.014357281766697965 0.00490742672678892 0.0068732625206610705 0.0037577913209746214 0.007634883920795579 0.007441146163448427 0.0009714711422316321 0.09169593602724435 0.039810551806940285 0.017593448390382817 0.0 0.0 6.275195393397077e-07 0.0 0.0 0.0 0.0 0.0017834871298307326 0.0037254545673597343 0.0009750787835328119 0.001273388348183389 0.016767935593618985 0.0019811140880416802 0.0019308426491504327 0.00025207916531106616 3.39738292843034e-05 0.0 0.0 0.00030675151680213566 0.0009810484844719328 7.769978072649021e-06 4.7576470066054264e-05 4.703470947965244e-06
2.12672 9.3 2.460265 16.859696685092263 3.036228834494147 29903340291.366756 5814647236.570123 1.8636348771296634 RXJ1347 0.19444808439172398 0.15342323983433961 0.09621027639902716 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.697335030008146e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0007740391148963255 0.0031450638209964622 0.0025704773313177955 0.0011564776195296912 0.0025753408066487983 0.003281135867047178 0.00039375369366748716 0.08006920066713322 0.039810551806940285 0.017593448390382817 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0006669923088411304 0.00020084913027160106 0.0003000849951778228 0.0008160870955215554 0.014641817925498214 0.000668254292598192 0.0008513953268209828 0.00010217195151040635 0.0 0.0 0.0 2.516282794042444e-05 0.0 0.0 0.0 0.0
