#z Image_ID mu bayes.sfh.sfr bayes.sfh.sfr_err bayes.stellar.m_star bayes.stellar.m_star_err Av Cluster total_rel_err_best cc_rate ia_rate lsst_II lsst_IIb lsst_IIn lsst_Ia lsst_Ib lsst_Ic lsst_Ic-BL roman_wide_IIP roman_wide_IIn roman_wide_IIL roman_wide_IIb roman_wide_Ib roman_wide_Ic roman_wide_Ic-BL roman_wide_Ia roman_deep_IIP roman_deep_IIn roman_deep_IIL roman_deep_IIb roman_deep_Ib roman_deep_Ic roman_deep_Ic-BL roman_deep_Ia cc_rate_err ia_rate_err lsst_II_err lsst_IIb_err lsst_IIn_err lsst_Ia_err lsst_Ib_err lsst_Ic_err lsst_Ic-BL_err roman_deep_IIL_err roman_deep_IIP_err roman_deep_IIb_err roman_deep_IIn_err roman_deep_Ia_err roman_deep_Ib_err roman_deep_Ic_err roman_deep_Ic-BL_err roman_wide_IIL_err roman_wide_IIP_err roman_wide_IIb_err roman_wide_IIn_err roman_wide_Ia_err roman_wide_Ib_err roman_wide_Ic_err roman_wide_Ic-BL_err
1.00585 11.1 14.382969 0.7092123495363297 0.1676652841166638 16128350.941208228 4423654.260755988 0.5924589171946386 MACS0416 0.2742781501271448 0.006453832380780601 0.0034684720772758916 0.0010641103540000993 6.294238998206209e-05 0.00023794513810439387 0.002803358729958111 0.00015582908738490448 0.0001307246970510892 1.7724690095365694e-05 0.0053081716653843175 0.0004503900479380258 0.0007570385912149796 0.0010445216005371236 0.0010337838813121755 0.0007184231766864773 0.00010538960699644042 0.005150050035874951 0.005462177177120738 0.0004503900479380258 0.0007570385912149796 0.0010445216005371236 0.0010349388335597189 0.0007187075233053603 0.00010541043675145286 0.005150050035874951 0.0019446192332347684 0.0009004192197046716 0.00032062956373567404 1.8965317802393402e-05 7.169580254213878e-05 0.0007277550529291402 4.6953224463734034e-05 3.9388962270134034e-05 5.340667564471979e-06 0.00022810505726204554 0.0016458212992324804 0.0003147272309058603 0.00013570807204197645 0.0013369587332484917 0.00031183982511773315 0.0002165554341095369 3.1761463669398743e-05 0.00022810505726204554 0.0015994175405853455 0.0003147272309058603 0.00013570807204197645 0.0013369587332484917 0.0003114918237719392 0.0002164697569689852 3.1755187407508e-05
1.00585 11.2 100.0 0.026454837968114434 0.03221682977946051 13042279.38189515 1622304.2131591626 0.33199750051741256 MACS0416 0.2742781501271448 0.006453832380780601 0.0034684720772758916 0.00419410325979622 0.0005559126339227688 0.00040326804429627815 0.004607954454484531 0.0007102073354453407 0.0004989603625745587 6.1960260428141e-05 0.005453702707225814 0.0004503900479380259 0.0007570385912149797 0.0010445216005371238 0.001034938833559719 0.0007187075233053604 0.00010541043675145287 0.005150050035874953 0.005454383582855824 0.0004503900479380259 0.0007570385912149797 0.0010445216005371238 0.001034938833559719 0.0007187075233053604 0.00010541043675145287 0.005150050035874953 0.0019446192332347684 0.0009004192197046716 0.001263735000224145 0.00016750332765749052 0.00012150963161405541 0.0011962301157114367 0.00021399422275116198 0.00015034290642158298 1.8669390064051334e-05 0.00022810505726204554 0.001643472993232356 0.0003147272309058603 0.00013570807204197648 0.0013369587332484917 0.0003118398251177332 0.0002165554341095369 3.176146366939875e-05 0.00022810505726204554 0.0016432678370139361 0.0003147272309058603 0.00013570807204197648 0.0013369587332484917 0.0003118398251177332 0.0002165554341095369 3.176146366939875e-05
1.005 11.3 2.904865 0.6852320179468556 0.498887207213574 70498751.07746504 40557605.62380759 3.5516148830851586 MACS0416 0.2742781501271448 0.006453832380780601 0.0034684720772758916 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.304653783279428e-05 0.0 0.0 0.0 0.0 0.0 0.0035441592285193058 0.0034261113421394655 0.0003489105177757906 0.0005662858072509045 0.00043489011463461577 0.0005769336297955066 0.0006478917589886263 9.43563987507458e-05 0.005152233348857742 0.0019446192332347684 0.0009004192197046716 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00017062889262004546 0.0010323295707166092 0.00013103775111678045 0.00010513103897232586 0.0013375255237339087 0.00017383721277629342 0.00019521777158879367 2.8430745790034957e-05 5.2592630456727054e-05 0.0007717588227615626 0.00029542295235076123 9.957329113914711e-06 0.0009200676885825843 0.00019966287474865722 8.865870132122107e-05 1.8836435496178975e-05
3.2199 13.1 6.589554 1.4392523945533582 0.5881188472974445 89252958.46269105 42278153.440271676 0.28847712928523106 MACS0416 0.4736890985853933 0.013097196790435561 0.0070651435640640015 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0006863526490957064 0.00025110255700019966 0.00026539236718227713 2.5931606103646398e-05 2.266635213914547e-05 3.0550086894664204e-05 1.2236001252880474e-05 0.0014480432786693673 0.0028744459344399948 0.00039104834658807195 0.00065472657589885 0.000551479412492476 0.0006923904431921795 0.0005153455507816006 7.38052601156901e-05 0.004986439226975407 0.005884651123647116 0.002969730186643518 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0002941726800164134 0.0012915062489034087 0.00024778309407109207 0.00017570042879941456 0.0020959770968467313 0.00031109528739072136 0.0002315479276212842 3.316115759885591e-05 0.00011924242391219486 0.00030838246934403006 1.1651230216471565e-05 0.00011282192425183438 0.0006086639000661809 1.0184131514463395e-05 1.3726342059965651e-05 5.4977106684609876e-06
3.2226 13.2 2.985921 17.23517854273322 18.216652127044274 7876839541.389588 2832952981.7738056 0.8870741972054792 MACS0416 0.4736890985853933 0.013097196790435561 0.0070651435640640015 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.8494184184428155e-05 3.0848049486630445e-06 0.0 0.0 0.0 4.4211671702814626e-07 0.0 0.00014148066792267586 0.00021066305553011847 0.00019920102105218146 1.7851956844826576e-05 0.00014340673626922907 0.0001433429204207899 1.9973902137814298e-05 0.004408388622198248 0.005884651123647116 0.002969730186643518 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.950224472632278e-05 6.356813482969979e-05 8.020994078895176e-06 9.465220735948183e-05 0.0018530019449834597 6.443352919164772e-05 6.440485633819419e-05 8.974397158385946e-06 1.3860218486324257e-06 0.0 0.0 1.2802612319359271e-05 0.0 0.0 0.0 1.986457619345531e-07
1.63383 14.1 3.429913 33.13806024951575 12.325612446320628 2174628184.045589 662518999.243179 2.68286268203002 MACS0416 0.14784858999945416 1.3042423788583688 0.7121911463584902 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.040086481805973594 0.05562072198751671 0.0 0.053819265456310265 0.07312593675878705 0.007814261765279709 0.8053423340574332 0.2665873394954164 0.09561261681744553 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01136888398646068 4.5248233430444175e-05 0.0008015894494770291 0.00819368294391728 0.10811828873022976 0.011000665999025447 0.014946952533239273 0.001597236286670986 0.00161425907068095 0.0 0.0 0.0010110568217208099 0.035356885879046326 0.002291965240974365 0.0025737056946686173 0.0002765450041148852
1.633967 14.2 3.062964 143.32333833608448 11.888284359536526 27410419052.356133 4052591808.1850286 3.1844401432551144 MACS0416 0.14784858999945416 1.3042423788583688 0.7121911463584902 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02937214009595591 0.022185713588411413 0.0 0.03148762574439633 0.05732191702358248 0.004869150159854816 0.8053004459473067 0.2665873394954164 0.09561261681744553 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.004534763212892172 0.03650362535539474 0.0016599192813180474 0.0060036698779267605 0.10811266519525149 0.006436075464419137 0.011716608509125363 0.0009952550290963488 0.002020843472788934 0.0 0.0 0.004120359226731351 0.027544722250949293 0.0018608577567377031 0.0054070049836660245 0.0006307699846817978
1.634093 14.3 3.491151 54.445698224294595 12.667768669616672 3734577373.9569874 1146094778.0082684 2.7368353459604706 MACS0416 0.14784858999945416 1.3042423788583688 0.7121911463584902 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03976923528543985 0.05503023483598161 0.0 0.052254863666860635 0.07246573664051666 0.007707741643943484 0.8052619249625922 0.2665873394954164 0.09561261681744553 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.011248188323380202 0.0011569235450268765 0.0005868456750638204 0.008128837707139054 0.10810749370137691 0.010680902036658037 0.014812007529214546 0.001575463557759501 0.0018600055650608107 0.0 0.0 0.0013785013769818638 0.04094591820191082 0.002663227800497662 0.0027703995548193985 0.00031948851287973986
1.9615 16.1 6.382778 13.638994449980009 10.100521507989335 1778414589.8374603 684915955.7578315 2.4740444951556766 MACS0416 0.1575783084676838 1.0570118835973252 0.5695844998229845 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04960300395525935 0.03778518666686659 0.05287465019654898 0.016258922026903377 0.046466524130855585 0.05366718242255659 0.006547508279694827 0.5727812745211934 0.2583309581531882 0.10848194980817585 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.012922427135637288 0.012122845294254132 0.003973638301447905 0.009234601452567263 0.10909080126474976 0.011356297773985159 0.013116119952613999 0.0016001940126283908 0.001367849125861548 0.0 0.0 0.0020308879619201667 0.02023737062435858 0.0006131414467110781 0.00119182757536157 0.0001832945646649479
1.962 16.2 7.408052 116.1551520436621 18.3035323788469 5895617703.6772 387684197.6232773 3.4206404428488417 MACS0416 0.1575783084676838 1.0570118835973252 0.5695844998229845 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.029999014242752312 0.04160432454249668 0.0 0.0076426191238652234 0.04706519985427646 0.005361298069239054 0.5721870407246975 0.2583309581531882 0.10848194980817585 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010167988826957939 0.030519994337620492 0.007300207909391629 0.007331681141187271 0.10897762465810784 0.0018678362577616138 0.01150261256538374 0.001310287319058167 0.005014388852902682 0.0 0.0 0.008170758300926454 0.12342990341505305 0.00302569969517481 0.004350815895736562 0.0005782366549532482
