#z bayes.stellar.m_star bayes.stellar.m_star_err bayes.sfh.sfr bayes.sfh.sfr_err Av mu Image_ID Cluster total_rel_err_best cc_rate ia_rate lsst_II lsst_IIb lsst_IIn lsst_Ia lsst_Ib lsst_Ic lsst_Ic-BL roman_wide_IIP roman_wide_IIn roman_wide_IIL roman_wide_IIb roman_wide_Ib roman_wide_Ic roman_wide_Ic-BL roman_wide_Ia roman_deep_IIP roman_deep_IIn roman_deep_IIL roman_deep_IIb roman_deep_Ib roman_deep_Ic roman_deep_Ic-BL roman_deep_Ia cc_rate_err ia_rate_err lsst_II_err lsst_IIb_err lsst_IIn_err lsst_Ia_err lsst_Ib_err lsst_Ic_err lsst_Ic-BL_err roman_deep_IIL_err roman_deep_IIP_err roman_deep_IIb_err roman_deep_IIn_err roman_deep_Ia_err roman_deep_Ib_err roman_deep_Ic_err roman_deep_Ic-BL_err roman_wide_IIL_err roman_wide_IIP_err roman_wide_IIb_err roman_wide_IIn_err roman_wide_Ia_err roman_wide_Ib_err roman_wide_Ic_err roman_wide_Ic-BL_err
1.688 22896628571.34454 2677363518.429611 22.650826029095708 66.53674003403628 1.7385885013524818 5.841628 1.1 A2744 0.1043101787481445 0.0034002084952514107 0.0018281889741637752 0.0 0.0 1.9774806396983856e-07 0.0 0.0 0.0 0.0 0.0 5.749988906081697e-05 2.7723829615999744e-05 1.8905103280288435e-07 3.185203956205683e-05 4.026633312579061e-05 3.7373894482093013e-06 0.0008324211945731405 0.0011742078370995588 0.0001583076689102908 0.0002622904652339845 0.00029621565142887466 0.00033673321015753865 0.0002487180030754699 3.328508745259884e-05 0.0020256458551980703 0.000684954433268554 0.0002410516564690755 0.0 0.0 3.983532576769223e-08 0.0 0.0 0.0 0.0 5.283705902652461e-05 0.00023653810192029255 5.9671112501805105e-05 3.189026196244962e-05 0.00026708687981151215 6.78331653627328e-05 5.01029566505005e-05 6.705108890889751e-06 5.584822233454533e-06 0.0 3.808335377468078e-08 1.1583055562522064e-05 0.00010975698391551869 6.41642879757085e-06 8.11144476125409e-06 7.528777941050329e-07
1.688 10258503.056989592 1070066.287562971 0.3736492851924627 0.028162484926672553 0.3366662260133763 14.998282 1.2 A2744 0.1043101787481445 0.0034002084952514107 0.0018281889741637752 0.00014868366347967876 1.2411617597127979e-06 6.818130746406227e-05 0.00015132843404381358 2.637382342598632e-06 4.372051750097265e-06 1.6113629453045747e-06 0.001576701473947719 0.00017436093378570707 0.00029129113588933033 0.0003512604364642126 0.00034650684142636565 0.0002555096236596524 3.945247783248917e-05 0.0020256458551980703 0.0021034375311816604 0.00017707034781411977 0.0002976288824960737 0.0004106525087604055 0.0004068850545515944 0.0002825590656608294 4.1441996296921656e-05 0.0020256458551980703 0.000684954433268554 0.0002410516564690755 2.9951555793488373e-05 2.5002562369512037e-07 1.3734772111409225e-05 1.9953062956097167e-05 5.312870461649636e-07 8.807272356653642e-07 3.2460073978770376e-07 5.9955800598450556e-05 0.0004237266226757695 8.272382614216596e-05 3.566990668515413e-05 0.00026708687981151215 8.196489195737545e-05 5.6920063859288514e-05 8.34827603269565e-06 5.8679094290209706e-05 0.00031761836547076236 7.075960004335556e-05 3.512410922805317e-05 0.00026708687981151215 6.980201288371996e-05 5.14710935264334e-05 7.947497817422728e-06
1.688 9604369257.733446 946621413.5960722 7.815715871380358 22.707402793322213 1.4121910756133045 4.1343822 1.3 A2744 0.1043101787481445 0.0034002084952514107 0.0018281889741637752 0.0 0.0 5.784186943213437e-07 0.0 0.0 0.0 0.0 1.0042615773120683e-05 6.612365011368229e-05 3.0505979774076392e-05 1.992454509243559e-06 3.256230834643179e-05 5.2020817095756954e-05 4.823900155529346e-06 0.0008124872235347627 0.0012442226862560896 0.0001508359469761626 0.0002652028326648077 0.00026132938048486175 0.00031420589852578797 0.00025518180565479895 3.2038211642055756e-05 0.0020256458551980703 0.000684954433268554 0.0002410516564690755 0.0 0.0 1.1651945741389569e-07 0.0 0.0 0.0 0.0 5.342374039792733e-05 0.00025064223153215893 5.264345346951898e-05 3.0385122183498333e-05 0.00026708687981151215 6.329515482798498e-05 5.140505628311636e-05 6.4539322011780645e-06 6.14527200806534e-06 2.02303305959569e-06 4.0136966633023724e-07 1.3320267669620231e-05 0.00010712863596751436 6.559508774386779e-06 1.0479324824272783e-05 9.717497623422602e-07
1.887 4454976122.598986 334946487.0335489 19.40886815190506 2.8661866269748915 1.3280324101171632 9.8818551 2.1 A2744 0.13464305933095655 0.05154746687030915 0.02822294527691179 0.0 0.0 3.579759725169248e-05 0.0 0.0 0.0 3.5295238762255696e-07 0.001708160580319655 0.0014322512233666297 0.0016120406706894978 0.0005251050056280279 0.0010060315911940305 0.0011761763404384829 0.00016857440569655266 0.02710673472486171 0.022515604893676534 0.0024043335716503016 0.004038590754796621 0.005325905019341795 0.0053150352250523536 0.003853172322174062 0.0005379547000597559 0.029115700847225146 0.011870243424604732 0.004782516939083384 0.0 0.0 8.24339621697889e-06 0.0 0.0 0.0 8.127714149205621e-08 0.0009299982765866325 0.005184846650420071 0.0012264383271241848 0.0005536649325803667 0.0049337987629891784 0.001223935253510195 0.0008873005056917804 0.00012387908909637622 0.00037121737173993253 0.0003933516645487643 0.00012092008819687221 0.0003298158318685943 0.004593369569084045 0.00023166686173659408 0.00027084744060056325 3.881896341891288e-05
1.887 1244437978.7739184 81879045.05978097 5.664556798935071 0.7626932571625881 1.2779114553193573 3.1728767 2.2 A2744 0.13464305933095655 0.05154746687030915 0.02822294527691179 0.0 0.0 3.3925411014176923e-06 0.0 0.0 0.0 0.0 0.0 0.0005599615563344389 0.00013198486028482144 0.0 8.847216740871877e-05 0.0002499447920219245 2.6810062114546538e-05 0.006582123058991463 0.008994451946149505 0.001949617468841625 0.002927635337192386 0.0019539179860208 0.0037479656399754873 0.0028496766413512436 0.00039355617804654006 0.029115700847225146 0.011870243424604732 0.004782516939083384 0.0 0.0 7.812273065352113e-07 0.0 0.0 0.0 0.0 0.0006741697744019511 0.00207122368089053 0.00044994416862683014 0.0004489538544781847 0.0049337987629891784 0.0008630737298012384 0.0006562176081194196 9.062729787329882e-05 3.0393199027315836e-05 0.0 0.0 0.00012894678217328356 0.0011153731375622934 2.0373186641471412e-05 5.7556766688012674e-05 6.173765324475037e-06
1.886028 0 0 0 0 1.3280324101171632 1.374 2.3 A2744 0.13464305933095655 0.05154746687030915 0.02822294527691179 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00016711831716437382 0.0 0.0 9.264237038934555e-07 8.359458143095492e-07 1.8914657875998398e-06 0.0 0.0006949809287584511 0.001322989352523716 0.0015970588343581507 0.000844113580499568 0.0015400043109325252 0.001518264810301385 0.00019715781570369466 0.028239378894619152 0.011870243424604732 0.004782516939083384 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00036776738563977924 0.00016003876234260464 0.0001943807191099022 0.00030465523557399453 0.004785301696460218 0.00035462898868923823 0.0003496228617136832 4.540109160658309e-05 0.0 0.0 0.0 3.8483658381165345e-05 0.0 2.1333492307598426e-07 1.9249986290498515e-07 4.3556280630841314e-07
1.886538 0 0 0 0 1.3280324101171632 4.312 2.4 A2744 0.13464305933095655 0.05154746687030915 0.02822294527691179 0.0 0.0 6.1552473837511696e-06 0.0 0.0 0.0 0.0 2.2094602079671494e-05 0.0007971227983706738 0.00037268499395236754 0.0 0.0002475975875754475 0.0005355256673655437 3.949813353333768e-05 0.007962247324267301 0.01347835295825007 0.0021042190726745166 0.003372011914312119 0.0029133668509093735 0.0042393426511933745 0.0032576411796313813 0.00041648665240850817 0.029120360911908658 0.011870243424604732 0.004782516939083384 0.0 0.0 1.4174175613248636e-06 0.0 0.0 0.0 0.0 0.0007764998880402244 0.0031037670770457026 0.000670884057066779 0.000484555190154832 0.004934588433878147 0.000976227005617604 0.000750162833210219 9.590767980172682e-05 8.582112502331413e-05 5.087898998321926e-06 0.0 0.00018355977956721012 0.0013492419847701469 5.701625733151809e-05 0.00012331973650123968 9.095548012822254e-06
3.981 3684623515.959651 82490498.97820477 216.19281698547448 5.749895155293233 1.3480753211251 44.340806 3.1 A2744 0.019500537913968507 2.0124044851880956 1.080949388195321 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0021223321335255797 0.012808942117273917 0.004146024394389039 0.0 0.0 0.0 0.00041695035596567303 0.0 0.2973173256626677 0.048188837647446324 0.07534878947312848 0.03968563719062799 0.06324806577701965 0.04596882086551932 0.0064907514276345835 0.6463392307729249 0.37798633907601 0.11908048061603096 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.014152628508028186 0.055844582089866236 0.0074540823308601135 0.009051223280782911 0.07120258088117654 0.011879771195431321 0.008634241494932113 0.0012191462442276682 0.0007787403546799718 0.00039863385286568277 0.0 0.0024058807133359914 0.0 0.0 0.0 7.831504043441504e-05
3.981 3797940116.850141 48691539.9596172 221.14335002066983 4.3124142815000805 1.3480753211251 100.0 3.2 A2744 0.019500537913968507 2.0124044851880956 1.080949388195321 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03493005822308825 0.025378725066697402 0.013109003314710078 0.00010891785797854392 1.0410502141580399e-05 5.301372157079522e-05 0.0007252987059029701 0.0 0.43232669916400723 0.05380540103117141 0.0893809727851095 0.0695577164694341 0.09304855100240671 0.06816382407847214 0.010421296545373722 0.6463392307729248 0.37798633907601 0.11908048061603096 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01678826842951417 0.08120315150586867 0.013064901612118514 0.010106172346553942 0.07120258088117654 0.017477143093546494 0.012803089294662678 0.0019574135113513734 0.0024622406719588515 0.006560850429739994 2.0457846670652077e-05 0.004766840587458189 0.0 1.955386017772236e-06 9.957472607931912e-06 0.0001362315601056746
2.017 58753522.08831585 4540508.868428303 2.5698987273777636 0.07714348868147566 0.331497364548448 3.5351491 6.1 A2744 0.07658103575859329 0.026901315021699814 0.014457234064673401 1.3160231073983562e-05 0.0 0.00010255475658203728 0.0 0.0 0.0 1.9026267590204541e-06 0.0025594369645196603 0.0008867880234387914 0.0010447389500812718 0.00019359860270038768 0.0007628517529904493 0.0006708679858477862 0.00011340484827522479 0.014176747865670712 0.009961672214402756 0.0011456521319464033 0.001970395844905858 0.0019147776808365546 0.0024406021854905063 0.001808062763563565 0.0002654200307902127 0.014271893653327955 0.005073704330464805 0.0016108260279514412 2.482076483477752e-06 0.0 1.934227052321876e-05 0.0 0.0 0.0 3.5884363343254606e-07 0.00037162517605420083 0.0018788144524576676 0.0003611353498258808 0.00021607494571822662 0.0015901753863908962 0.0004603081249922708 0.0003410084550084188 5.005936544463069e-05 0.0001970422832845466 0.00048272087814146407 3.651353356148409e-05 0.0001672520555629486 0.001579574236093224 0.00014387713907398965 0.00012652860286645716 2.13886447307718e-05
2.017 66597340.61992937 5100093.323442029 2.9561884639230565 0.0766573476187267 0.331497364548448 3.7854888 6.2 A2744 0.07658103575859329 0.026901315021699814 0.014457234064673401 2.0427978579632782e-05 0.0 0.00011052993990279104 0.0 0.0 0.0 2.1337764132111896e-06 0.0028377006441238735 0.0009249092435098653 0.0010738582667508046 0.0002185346263198451 0.0008297381012127689 0.0007379531938550906 0.00011544236358849042 0.014215005346991187 0.010103253672659457 0.0011764848694216306 0.001984639440583396 0.0019593434468220742 0.002556935461247984 0.0018381438935739644 0.0002618689647975887 0.014271893653327955 0.005073704330464805 0.0016108260279514412 3.852805087726007e-06 0.0 2.084642458104528e-05 0.0 0.0 0.0 4.024394576703931e-07 0.0003743115797862199 0.001905517327662509 0.00036954064598663795 0.0002218901333223254 0.0015901753863908962 0.00048224908380829 0.0003466818861948098 4.938961904412911e-05 0.00020253431231610902 0.0005352026112864841 4.121657543585189e-05 0.00017444188249896234 0.001583836887330605 0.00015649219355555737 0.00013918116316331385 2.1772928928773476e-05
2.017 81206108.74922863 6228043.893121127 3.606006553823993 0.09493240454635317 0.331497364548448 5.1843616 6.3 A2744 0.07658103575859329 0.026901315021699814 0.014457234064673401 4.489002525902706e-05 0.0 0.00016004615705017395 7.376843788828554e-06 0.0 0.0 3.429737896725897e-06 0.004557090715681022 0.001034789147388584 0.001395450069348593 0.0005137778460998766 0.0013035802560367523 0.001005478818242681 0.00016380489169761696 0.014249278738485444 0.012202883780019188 0.0012124347899941316 0.0020274603122969865 0.0024956858710502823 0.002679769511201992 0.0019061215744814208 0.00027819408939940015 0.014271893653327952 0.005073704330464805 0.0016108260279514412 8.46645286179057e-06 0.0 3.0185397235960403e-05 8.219284495236124e-07 0.0 0.0 6.46863397010169e-07 0.00038238778134262215 0.0023015166444056586 0.00047069714626268654 0.0002286704437845252 0.0015901753863908957 0.0005054161167461764 0.00035950277073955805 5.246860813149432e-05 0.0002631879168022172 0.000859487013174674 9.690072327509255e-05 0.00019516570747520634 0.0015876556310016384 0.0002458608727798977 0.00018963765266469035 3.089431084268992e-05
5.662 637370374.3598713 37863965.76505649 14.079118308099124 1.533963857745237 0.2522253391788464 19.965489 18.1 A2744 0.08860975276867848 0.050194363856219955 0.026990991663168415 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0069006456362611214 0.0009445927950876708 0.001474522599526879 0.00028235626647871143 0.0002640212075612727 0.0003410533972536634 6.958367080695472e-05 0.0010716164249192112 0.010119713336626375 0.003565231783361531 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00029727931323787624 0.0013912429665736425 5.692600236451786e-05 0.00019043987355854016 0.00014154948381936333 5.3229461039955516e-05 6.875996322168644e-05 1.402880218770419e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.662 157885326.71773416 13990179.76626045 5.5158641600241705 0.41817553363253596 0.3346373592389944 6.5041721 18.2 A2744 0.08860975276867848 0.050194363856219955 0.026990991663168415 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0018875498210769131 0.0006784745361393482 0.0006294386331409772 4.0971988974641856e-05 2.14553519214783e-05 3.631460681060996e-05 2.9728738346628728e-05 0.0002952217107726753 0.010119713336626375 0.003565231783361531 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00012690146942853032 0.0003805499588084083 8.260385258441974e-06 0.00013678762483369813 3.899574493298008e-05 4.325625315299041e-06 7.3214078757596155e-06 5.993627308221669e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.662 121334832.58162263 9006246.640609767 2.6815679180861007 0.32037202505601925 0.2522253391788464 3.0825044 18.3 A2744 0.08860975276867848 0.050194363856219955 0.026990991663168415 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0007382753294965648 0.0005097436435759444 0.0003675112361581073 1.4115654402140654e-05 3.719844318658084e-06 1.7576439417180173e-05 2.078301557833585e-05 5.991434343983591e-05 0.010119713336626375 0.003565231783361531 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.409414269224532e-05 0.00014884409571180995 2.845864856814007e-06 0.00010276969667216498 7.914067188662397e-06 7.49959861420444e-07 3.5435956293806612e-06 4.190075214935449e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.284 810794079.3270335 81976813.32442148 13.255437650974796 1.809404853298298 0.5050899008975624 6.8145001 22.1 A2744 0.11913878218151598 0.009493973049586464 0.0051247264350406515 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.454977201959338e-05 0.0 0.0 0.0 0.0 1.858445571523309e-06 0.0 0.00017941342830865648 0.00012663718613412802 0.00011575762563891148 4.722851425664446e-06 3.554872749115672e-06 5.120340203068912e-06 5.159276248890872e-06 0.0004104776866215929 0.002103578564953584 0.0008207915986904285 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.5648404387933474e-05 3.975261358798207e-05 1.046441671215924e-06 2.8058987410901945e-05 6.574334082014532e-05 7.876527642453198e-07 1.134513215930712e-06 1.1431402713233635e-06 0.0 0.0 0.0 5.4394902877002915e-06 0.0 0.0 0.0 4.1177558098920775e-07
5.284 93393404.82059425 9629691.223631531 1.422701085425312 0.17301097954490002 0.259632183581077 5.018406 22.2 A2744 0.11913878218151598 0.009493973049586464 0.0051247264350406515 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.961436761693769e-06 5.19889370914546e-05 1.4871564657781123e-05 0.0 0.0 0.0 2.1937032105360806e-06 0.0 0.00042815802598906587 0.00014637483883205916 0.00015626508557091076 1.915005670728057e-05 9.629147984856803e-06 1.7686300506965428e-05 7.021464581097951e-06 0.0007400326317966 0.002103578564953584 0.0008207915986904285 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.462363783220594e-05 9.486692675230097e-05 4.243075959525257e-06 3.243225694948303e-05 0.00011852585199127772 2.133529260502068e-06 3.9187516591276535e-06 1.5557451353858438e-06 3.2950909464391506e-06 2.2071544482583494e-06 0.0 1.1519183076369468e-05 0.0 0.0 0.0 4.860585792114253e-07
