#Cluster Image_ID z mu bayes.sfh.sfr bayes.sfh.sfr_err bayes.stellar.m_star bayes.stellar.m_star_err Av total_rel_err_best cc_rate ia_rate lsst_II lsst_IIb lsst_IIn lsst_Ia lsst_Ib lsst_Ic lsst_Ic-BL roman_wide_IIP roman_wide_IIn roman_wide_IIL roman_wide_IIb roman_wide_Ib roman_wide_Ic roman_wide_Ic-BL roman_wide_Ia roman_deep_IIP roman_deep_IIn roman_deep_IIL roman_deep_IIb roman_deep_Ib roman_deep_Ic roman_deep_Ic-BL roman_deep_Ia cc_rate_err ia_rate_err lsst_II_err lsst_IIb_err lsst_IIn_err lsst_Ia_err lsst_Ib_err lsst_Ic_err lsst_Ic-BL_err roman_deep_IIL_err roman_deep_IIP_err roman_deep_IIb_err roman_deep_IIn_err roman_deep_Ia_err roman_deep_Ib_err roman_deep_Ic_err roman_deep_Ic-BL_err roman_wide_IIL_err roman_wide_IIP_err roman_wide_IIb_err roman_wide_IIn_err roman_wide_Ia_err roman_wide_Ib_err roman_wide_Ic_err roman_wide_Ic-BL_err
"Abell S1063" 1.1 1.229 9.06 7.07834557232476 2.765403760090254 954382048.5165989 319175869.5182514 2.406865850940466 0.39068504523183445 0.06441294470815531 0.034987068427553565 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0020442089518917816 0.003011441664468844 0.0 0.002310397454314873 0.002924887258830672 0.0003190023305093939 0.046685213148413236 0.04121701889015651 0.00400508276290066 0.006587658545645065 0.008448412915994453 0.009111777924680249 0.0063666853773851895 0.0009467328992707637 0.04674866191948785 0.027894149818952708 0.014007802380087664 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0028527982265195537 0.017849109448757502 0.0036586014919651284 0.0017344088076058938 0.018716801582209754 0.003945872987171118 0.002757105370225883 0.00040998450622684534 0.0013041106153480172 0.000512021674999086 5.6901262113343694e-05 0.0008852486254691312 0.01869139854370389 0.001000522069344649 0.001266628063210389 0.00013814457389179868
"Abell S1063" 1.2 1.229 16.09 0.7779099015829687 0.43931599111456376 271627222.6407705 90941962.67031583 0.5686842429830978 0.39068504523183445 0.06441294470815531 0.034987068427553565 0.005416027935875235 0.0001837706920012192 0.0016430670325328959 0.015911102962072786 0.0005238277821804294 0.0005028268408140868 7.613030729455758e-05 0.047005840251995626 0.004018616181416091 0.006795661940580894 0.009296804962981815 0.009139747860471089 0.006443548509555501 0.0009436517795637534 0.04674866191948785 0.048982452392739316 0.004045131478702353 0.006799263549308212 0.009381262365501204 0.009295195738294772 0.00645499704048248 0.0009467328992707637 0.04674866191948785 0.027894149818952708 0.014007802380087664 0.002345421333420413 7.958225226684294e-05 0.0007115333443566641 0.006370341842256708 0.00022684463040269345 0.00021775013227865982 3.296837626441304e-05 0.0029444341810837067 0.021211945389756404 0.004062573743520558 0.001751751981151066 0.018716801582209754 0.004025302424772663 0.0027953489060921267 0.00040998450622684534 0.0029428744974846375 0.020355969693602816 0.0040259993026240965 0.00174026948057066 0.018716801582209754 0.003957985421758778 0.002790391097714774 0.0004086502214009167
"Abell S1063" 1.3 1.229 6.58 4.494035053006372 2.8159485241821143 1507066475.7942483 493845893.2715197 1.0287801007671118 0.39068504523183445 0.06441294470815531 0.034987068427553565 3.867641922634407e-05 0.0 0.00042456445053074086 4.90843986434697e-05 1.6509135485827595e-05 1.3785256154718978e-05 3.0322897637805345e-06 0.02726884366023533 0.0037013046692466163 0.005939826468548044 0.004963169935514678 0.005937893929714842 0.005294592858804307 0.0008092539351975396 0.04674866191948785 0.0453205797429669 0.004037642822354327 0.006798381268404966 0.009251513691563075 0.009277217858994304 0.0064547360935888415 0.0009439751180601518 0.04674866191948785 0.027894149818952708 0.014007802380087664 1.6748897869028367e-05 0.0 0.00018385845336778083 1.9651962483421016e-05 7.149312932509955e-06 5.969731739708617e-06 1.3131389249257826e-06 0.002944052107638547 0.019626164382949788 0.004006385830267426 0.0017485090040901515 0.018716801582209754 0.004017517069501196 0.002795235902537035 0.0004087902437598017 0.002572253297267472 0.01180882528961447 0.002149310303781842 0.0016028571188188901 0.018716801582209754 0.002571416407602072 0.0022928336393095473 0.0003504489759357205
"Abell S1063" 4.1 1.16 36.49 0.02376368139494718 0.017574036754690464 4913613.0286707245 2025367.080484422 1.3503627093151773 0.4258116100252807 0.000236489126053447 0.00012885012748237466 1.1371164786258257e-05 5.583927453144964e-07 5.043091121595222e-06 5.756698955341635e-05 1.8325762421401959e-06 1.7142702845299163e-06 2.743935364543977e-07 0.00016612950714023188 1.5325935089825263e-05 2.5345062514035654e-05 3.517278271029943e-05 3.5078416756015466e-05 2.4456279398657335e-05 3.565077578066121e-06 0.00017766537632400597 0.00018586772342979574 1.5325935089825263e-05 2.566119693916634e-05 3.554312605938199e-05 3.521704233406656e-05 2.4456279398657335e-05 3.586920978469743e-06 0.00017766537632400597 8.949626832666922e-05 4.396138972764591e-05 4.303271071616817e-06 2.1131655311304844e-07 1.9084929770180052e-06 1.9640840972790136e-05 6.93514910527395e-07 6.48743542373494e-07 1.0384070496364595e-07 9.711149959309766e-06 7.033924953310843e-05 1.3450838945804947e-05 5.799903031677363e-06 6.0616291208224706e-05 1.3327436753641599e-05 9.25516441225111e-06 1.3574241137968295e-06 9.591512951845842e-06 6.286957542664905e-05 1.3310687268239021e-05 5.799903031677363e-06 6.0616291208224706e-05 1.3274975686457492e-05 9.25516441225111e-06 1.3491577598366584e-06
"Abell S1063" 4.2 1.16 15.82 0.02598781604982934 0.008552933426716154 4355332.959672738 1854551.3397544194 0.16208516350405028 0.4258116100252807 0.000236489126053447 0.00012885012748237466 4.7920041274281805e-05 2.636477668991194e-06 8.597780635745315e-06 8.378742022484189e-05 5.463178667384289e-06 4.13936968740848e-06 6.056087171071795e-07 0.0001856818404514851 1.532593508982526e-05 2.5760614299919056e-05 3.554312605938199e-05 3.5217042334066555e-05 2.445627939865733e-05 3.586920978469742e-06 0.00017766537632400592 0.0001858677234297957 1.532593508982526e-05 2.5760614299919056e-05 3.554312605938199e-05 3.5217042334066555e-05 2.445627939865733e-05 3.586920978469742e-06 0.00017766537632400592 8.949626832666922e-05 4.396138972764591e-05 1.8134723332433226e-05 9.977410667413987e-07 3.2537195076639667e-06 2.8586789215883137e-05 2.0674697060796763e-06 1.5664912227882561e-06 2.291848304050344e-07 9.748773180904501e-06 7.033924953310842e-05 1.3450838945804945e-05 5.799903031677361e-06 6.06162912082247e-05 1.3327436753641599e-05 9.255164412251109e-06 1.3574241137968295e-06 9.748773180904501e-06 7.026890451056185e-05 1.3450838945804945e-05 5.799903031677361e-06 6.06162912082247e-05 1.3327436753641599e-05 9.255164412251109e-06 1.3574241137968295e-06
"Abell S1063" 11.1 3.116 62.89 0.13948692810010777 0.006974346405005389 3423106.6186676254 1624310.363894632 0.3348844917440925 0.3374530362603798 0.007010321791732176 0.0037884777156571214 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00217245093111685 0.0002324505384158743 0.00038355156622911854 0.00021799448257044362 0.0002754952596262308 0.00021741359266919086 3.591835342616919e-05 0.002728076039748827 0.0028433687473887023 0.00023841421411215717 0.0004007387854225621 0.0005529180710260667 0.0005478454281726165 0.00037667169619284965 5.5798227890317006e-05 0.002741328426955818 0.0027039649799808474 0.0013327382094301498 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00015456974360016147 0.0010967213412626162 0.0002132671145875646 9.19592145469315e-05 0.0009643644264032212 0.00021131053555465117 0.00014528677936819618 2.1522044014919295e-05 0.00014794042754549252 0.0008379403132955593 8.408307980879122e-05 8.965895348705692e-05 0.0009597024053693041 0.00010626181740453247 8.38590236246565e-05 1.385413860993944e-05
"Abell S1063" 11.2 3.116 9.18 0.7703650320584808 0.2599620190969592 62438539.080976985 20607057.36328745 0.3031837302313028 0.3374530362603798 0.007010321791732176 0.0037884777156571214 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0006401763026242511 0.00017129080325880614 0.00019821887200600867 2.1955502791859178e-05 4.036849167311263e-05 3.237497698293258e-05 9.41086332454363e-06 0.0014362149758625157 0.0018506922169594239 0.00023060682817617516 0.00037617558021685494 0.0003981113190336204 0.00045417249228524043 0.0003218771734415705 4.614962287080281e-05 0.0027413284269558174 0.0027039649799808474 0.0013327382094301498 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00014509542150118918 0.0007138341280257994 0.00015355629838140507 8.894781239118622e-05 0.0009643644264032211 0.00017517976356781043 0.00012415187643278995 1.780046163203878e-05 7.645539023724604e-05 0.000246923658390563 8.468500081847171e-06 6.606891197931129e-05 0.0005052421365386782 1.5570610169062434e-05 1.2487415926153264e-05 3.6298825670118785e-06
"Abell S1063" 11.3 3.35 3.11 1e-20 1e+20 1e-20 1e+20 0.3348844917440925 0.3374530362603798 0.007010321791732176 0.0037884777156571214 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.982934804219427e-05 7.38279415887443e-05 3.652827469243568e-05 0.0 7.186513007792833e-07 1.0075403151305478e-06 1.878152937666475e-06 5.889433154154828e-05 0.0005986117676444717 0.0001709337435838312 0.0002263992754781405 9.861985660635123e-05 0.0001956513915506678 0.00014913942988777445 2.247100897955832e-05 0.0025775663021920755 0.0027039649799808474 0.0013327382094301498 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.732490898034316e-05 0.00023089172000977982 3.803885848846555e-05 6.593118979114667e-05 0.0009067549966240493 7.546508231069484e-05 5.752486227186553e-05 8.667336985474885e-06 1.4089392538863957e-05 1.5362656020808883e-05 0.0 2.8476320278973972e-05 2.0718275744339235e-05 2.7719240398017715e-07 3.886203528124647e-07 7.244260565167962e-07
"Abell S1063" 14.1 3.118 9.18 0.25533083650768157 0.0170893374737411 983297389.4861028 49164869.474305145 0.12876701577749683 0.06693017462161087 0.0023235106122199024 0.00170423106565801 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0003520938586533625 6.44890590093439e-05 8.502860617080634e-05 1.3125024294394208e-05 2.181072219761053e-05 1.7188739411916575e-05 4.222551321738422e-06 0.0008992138511917459 0.0006997565929894707 7.779639816995665e-05 0.00012881985378294543 0.00014475133169364982 0.00016007823926438299 0.00011306054741996596 1.6198555548204136e-05 0.0012325763601190223 0.0004610796790143008 0.00016977885037858148 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.5563135593412236e-05 0.00013886037084869153 2.8724593381751268e-05 1.5437992022942184e-05 0.00012279168103535647 3.176607965077403e-05 2.2435843692477766e-05 3.2144569314127236e-06 1.6873158329503827e-05 6.986984370847989e-05 2.604542435436674e-06 1.2797270850230332e-05 8.958145229026558e-05 4.3281406751726875e-06 3.410949968993247e-06 8.379271425786376e-07
"Abell S1063" 14.2 3.118 30.33 0.26433868144096023 0.13765553775038536 22451936.357432973 6670406.333903814 0.23061569881895147 0.06693017462161087 0.0023235106122199024 0.00170423106565801 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0005991137442549687 7.458879049608485e-05 0.00011864354720181451 4.560512234585829e-05 6.362956158157182e-05 4.8832897015298895e-05 9.071447737690024e-06 0.0011840261370251936 0.0008790988982454717 7.892855348657092e-05 0.00013275539905497323 0.00017893039636434057 0.00018056996429753505 0.00012443764755851885 1.8273593785187292e-05 0.0012325763601190223 0.0004610796790143008 0.00016977885037858148 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.634410897964487e-05 0.00017444923026953052 3.5507119824492394e-05 1.5662658012085266e-05 0.00012279168103535647 3.5832477260943776e-05 2.4693526378499886e-05 3.626229513478315e-06 2.354373953500728e-05 0.00011888870721800386 9.049924309382135e-06 1.4801471273308245e-05 0.00011795501232968933 1.2626711354600512e-05 9.690447016999238e-06 1.8001468076330286e-06
