#Cluster Image_ID z mu bayes.sfh.sfr bayes.sfh.sfr_err bayes.stellar.m_star bayes.stellar.m_star_err Av total_rel_err_best cc_rate ia_rate lsst_II lsst_IIb lsst_IIn lsst_Ia lsst_Ib lsst_Ic lsst_Ic-BL roman_wide_IIP roman_wide_IIn roman_wide_IIL roman_wide_IIb roman_wide_Ib roman_wide_Ic roman_wide_Ic-BL roman_wide_Ia roman_deep_IIP roman_deep_IIn roman_deep_IIL roman_deep_IIb roman_deep_Ib roman_deep_Ic roman_deep_Ic-BL roman_deep_Ia cc_rate_err ia_rate_err lsst_II_err lsst_IIb_err lsst_IIn_err lsst_Ia_err lsst_Ib_err lsst_Ic_err lsst_Ic-BL_err roman_deep_IIL_err roman_deep_IIP_err roman_deep_IIb_err roman_deep_IIn_err roman_deep_Ia_err roman_deep_Ib_err roman_deep_Ic_err roman_deep_Ic-BL_err roman_wide_IIL_err roman_wide_IIP_err roman_wide_IIb_err roman_wide_IIn_err roman_wide_Ia_err roman_wide_Ib_err roman_wide_Ic_err roman_wide_Ic-BL_err
"MACS J2129.4 - 0741" 13.1 1.359 3.2518404069621485 1.6415638759492046 1.4110186300895369 853123397.9032978 359320246.6417696 1.3192580603310944 0.4289253576222956 0.043983815065197315 0.02380944582092929 0.0 0.0 1.8457615559183595e-05 0.0 0.0 0.0 0.0 0.0010123454526418506 0.001326842363896262 0.0012206535296549904 0.00040231009487464483 0.0016062072013786192 0.001739003993924909 0.00022216024098020392 0.0269118390768042 0.020841622805741897 0.002242116240521218 0.003999990254885076 0.004071632808600135 0.004978640348548075 0.0037491527474225067 0.0005463843417044432 0.030060281615093762 0.0175854338075847 0.008722913197517395 0.0 0.0 7.379650359586479e-06 0.0 0.0 0.0 0.0 0.0015992601768172654 0.008332814644426471 0.0016279040173821414 0.0008964339877782645 0.011012991616583395 0.0019905401605427976 0.0014989713233514168 0.00021845321194402225 0.00048803683391092313 0.00040475192798655356 0.00016085002024163205 0.0005304928308017443 0.009859517017660569 0.0006421873677679092 0.0006952816526024723 8.882322296607074e-05
"MACS J2129.4 - 0741" 13.2 1.359 3.172710293034251 0.47990624721094727 0.4771873112115498 338439486.78502417 152124867.51521358 0.9316326775298236 0.4289253576222956 0.043983815065197315 0.02380944582092929 0.0 0.0 7.17708179739294e-05 0.0 0.0 0.0 3.2298506823856896e-07 0.004601059385267117 0.0017141710709538847 0.002012092518244642 0.000956580594497971 0.002382214767920869 0.002402351672700971 0.0003403444549439586 0.030044799113098788 0.024162484162385332 0.002293670452676257 0.004150658392435886 0.004718285656688894 0.005237327567125065 0.003863022883569155 0.0005664281148007553 0.030060281615093762 0.0175854338075847 0.008722913197517395 0.0 0.0 2.869512267014357e-05 0.0 0.0 0.0 1.2913460394302657e-07 0.0016594997116526216 0.009660548209258315 0.0018864461843063776 0.0009170461876070142 0.011012991616583395 0.0020939674542509645 0.001544498427785157 0.00022646703349444853 0.0008044668190305567 0.0018395772432301684 0.00038245624444421133 0.0006853530522182518 0.011007319392122641 0.000952447623168344 0.000960498680257758 0.00013607516481514264
"MACS J2129.4 - 0741" 13.3 1.359 6.7651907491950505 4.833386270900804 1.7085434687823164 477512486.98147553 204817214.24764118 3.587554589600276 0.4289253576222956 0.043983815065197315 0.02380944582092929 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.016650947569384403 0.018309224115405278 0.002232836929595244 0.003787350615359387 0.0028155037488091683 0.004659860599698257 0.0034618892431675366 0.0005493347607306134 0.030060281615093762 0.0175854338075847 0.008722913197517395 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001514243442816251 0.007320321083390056 0.0011256834982663207 0.0008927239706315748 0.011012991616583395 0.001863086910653325 0.0013841187728866032 0.00021963283673128649 0.0010998979988349185 0.0037268383811690825 0.00087360805369968 0.00015985944077458094 0.006100300334436109 0.0011618387135632745 0.0003352463663991977 0.00012003329498012231
"MACS J2129.4 - 0741" 8.2 4.41 6.951126629141581 1.7381432638173104 0.36786537066596114 1287664310.175145 233234896.2156467 0.18150953466195785 0.21164272147397975 0.015817103700737526 0.009082190695970093 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0002449465503808545 0.0002250884389961075 0.0001411325501690292 0.0 0.0 0.0 6.124280288194561e-06 0.0 0.002034701869437728 0.00035704063121768417 0.000525194437685207 0.00019787930424435777 0.0002978515651943154 0.00022337795194453272 4.1135830464631706e-05 0.004826797474592057 0.004465126865699777 0.002021962790424813 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0001482610114843566 0.0005743909980493035 5.586080829110724e-05 0.00010079163320666298 0.001074587092172826 8.408271519885486e-05 6.305900962045406e-05 1.1612536986903223e-05 3.984134853684179e-05 6.914776835629137e-05 0.0 6.354187562626156e-05 0.0 0.0 0.0 1.7288682533337645e-06
"MACS J2129.4 - 0741" 8.3 4.41 4.092425175430629 9.892910179628979 2.92107472059343 1295678695.7966962 418590817.27020323 0.2163892680268325 0.21164272147397975 0.015817103700737526 0.009082190695970093 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.095991638127931e-05 0.00014871781011720745 5.652631637597822e-05 0.0 0.0 0.0 5.525862113020137e-06 0.0 0.0011085324231869572 0.0003052692599789273 0.0003940430860403085 7.117983787733996e-05 0.000161546368594689 0.00014918457462670477 2.512510974100449e-05 0.004022345953613721 0.004465126865699777 0.002021962790424813 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0001112373290970957 0.00031293579393050063 2.0093881434655162e-05 8.617671097020378e-05 0.0008954925216480542 4.560411590617253e-05 4.211441391021748e-05 7.092752543753206e-06 1.5957230770236196e-05 8.739903145948456e-06 0.0 4.1982647514122194e-05 0.0 0.0 0.0 1.5599363729181512e-06
"MACS J2129.4 - 0741" 8.4 4.41 1.1209434059764654 4.8990817524575005 2.017596107672967 489458260.704721 767881739.0101948 0.33286186179943056 0.21164272147397975 0.015817103700737526 0.009082190695970093 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.4561585419346877e-05 5.181674741788581e-07 0.0 0.0 0.0 4.17468782992558e-07 0.0 2.969209781270043e-05 0.00010761555524358278 5.943896562121434e-05 4.492002510935575e-06 1.1661556888146468e-05 1.323611256992792e-05 4.425497296714014e-06 0.0005899609104433319 0.004465126865699777 0.002021962790424813 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.677946400846536e-05 8.382001291190394e-06 1.2680805204200596e-06 3.037958882844742e-05 0.00013134265164139983 3.2920269059575767e-06 3.7365198427987736e-06 1.2493062729757588e-06 1.4627731812746045e-07 0.0 0.0 6.9336711066130225e-06 0.0 0.0 0.0 1.178503418703731e-07
"MACS J2129.4 - 0741" 8.5 4.41 3.348416153887416 2.8263173018348415 1.0107596773559995 299377754.4752964 154368656.0950058 0.22466133130144866 0.21164272147397975 0.015817103700737526 0.009082190695970093 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5212737581783425e-05 0.00012005503984157823 4.636444965827138e-05 0.0 0.0 0.0 4.275018183502827e-06 0.0 0.0008781678739088166 0.0002758677362453158 0.0003454902330384196 6.033821179314411e-05 0.00013270591040704283 0.00010455830600423962 2.2585421041989164e-05 0.0035564589143757086 0.004465126865699777 0.002021962790424813 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.753098611250762e-05 0.0002479044862177818 1.7033318842898428e-05 7.787673797898308e-05 0.0007917723632177287 3.746253024616669e-05 2.9516535391357353e-05 6.375805088957251e-06 1.3088562463738495e-05 4.2945158963644226e-06 0.0 3.3891222685370175e-05 0.0 0.0 0.0 1.2068264142204157e-06
"MACS J2129.4 - 0741" 8.1 4.41 12.328462226298099 1e-20 1e+20 1e-20 1e+20 0.18150953466195785 0.21164272147397975 0.015817103700737526 0.009082190695970093 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0009008810026396456 0.0002652648823595022 0.000254076958948085 2.791690791470422e-06 1.3086099794733586e-06 3.7735595217925723e-06 1.1185142753888368e-05 0.0 0.002995575132106249 0.0003837177282134251 0.000618121477951163 0.0003198569895517197 0.00048383363316797847 0.00035527320834168817 5.555079650708808e-05 0.004964609213979822 0.004465126865699777 0.002021962790424813 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00017449407108186923 0.000845642998469188 9.029478874584618e-05 0.00010832250767952915 0.0011052680389238585 0.00013658496491280746 0.00010029269436703873 1.5681844071317213e-05 7.172525873377783e-05 0.0002543163428521537 7.880869841638595e-07 7.488358015221686e-05 0.0 3.694171630041771e-07 1.0652659500037013e-06 3.1575364461159466e-06
"RX J2129.4 + 0009" 1.1 1.522 6.257015452120287 39.27398845750502 19.48949922730015 3262415904.2720246 1047232666.4189079 2.8864275879363923 0.4962444608443079 0.3573932949632957 0.19317734948401527 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0978077145394067 0.015614578829472451 0.029003492184502475 0.027156254393482904 0.03903803970429714 0.01702151626094205 0.003543454434251172 0.22813022008380474 0.18950532412070556 0.09736128682482131 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.015378901239937825 0.051861864524345005 0.014399416170551921 0.00827952248626091 0.11497751599923887 0.020699650697027117 0.009025541333636268 0.001878892219113073 0.006771370708092365 0.0009273123277385225 0.002616789235778719 0.000914085502735615 0.074455019910963 0.0049880667337603895 0.005864903874119514 0.0010042996264628104
"RX J2129.4 + 0009" 1.2 1.52 11.805444189741557 6.3005702507372146 4.7449391507464265 3044280974.732507 1008294927.05159 1.6416833449903887 0.4962444608443079 0.3573932949632957 0.19317734948401527 0.0 0.0 0.00018362030313128007 0.0 0.0 0.0 0.0 0.029349935748574276 0.01332588049384604 0.018382474124356382 0.00549040326552343 0.0187507282048959 0.016623055434783877 0.0023736847330443037 0.2271748806773965 0.20720999874399929 0.019701409279138094 0.033194484908067576 0.04403710360480217 0.04239719292253447 0.031369153544150596 0.004379442308604866 0.22831127581403 0.18950532412070556 0.09736128682482131 0.0 0.0 9.736339643307828e-05 0.0 0.0 0.0 0.0 0.017601146160756184 0.10987166946449102 0.023350369773507317 0.010446536081381082 0.11506876799606368 0.022480818470358044 0.01663327682291004 0.002322169010600297 0.009747179832890827 0.015562600544944929 0.0029112483783257682 0.007065956014758006 0.11449602541967141 0.009942444013486554 0.008814260234984812 0.001258629921252799
"RX J2129.4 + 0009" 1.3 1.52 3.9783690523615185 10.71500325881962 9.231207137224397 1863962967.8546305 695568007.3563541 1.6145589743926116 0.4962444608443079 0.3573932949632957 0.19317734948401527 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00769412732923956 0.004019327320282604 0.0 0.006252682550185172 0.00668445005400355 0.0008554433438063899 0.12807278158446486 0.1411387677975497 0.017340467088871724 0.029469518336411486 0.029046097469386852 0.036301512628523276 0.02828215918070918 0.003760432519937789 0.22831127581403 0.18950532412070556 0.09736128682482131 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.015626008385513434 0.07483785598221289 0.015401492397732482 0.009194662805351587 0.11506876799606368 0.019248626131742892 0.014996419400996637 0.001993943349155553 0.0021312205273901035 0.0 0.0 0.0040797578295453645 0.06454861740055902 0.0033154416996502745 0.0035443834338937563 0.00045359291967572837
"RX J2129.4 + 0009" 4.1 3.427 2.5414694991821554 40.949210314507035 33.166355841978344 1353136444.1908712 919317058.960112 2.4708521753204424 0.1204745381297417 0.417173223688339 0.2240966143462032 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08067656311368343 0.026748168679843736 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0003107000397189897 0.0 0.0 1.175159945073245e-05 4.376844413839948e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
"RX J2129.4 + 0009" 4.2 3.427 9.306741550520316 45.843211394322964 2.2921605697161485 819190433.2770905 98691589.08936046 1.3673280731575022 0.1204745381297417 0.417173223688339 0.2240966143462032 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0010953373970229228 0.00011063016724328785 0.0 0.0 0.0 8.221940199562998e-06 0.0 0.009985064997362706 0.007637282047391025 0.008938179578767386 0.001953849532116458 0.005934309591118501 0.00426147030597657 0.0007899176513244204 0.14452165790435562 0.08067656311368343 0.026748168679843736 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0017285424086723809 0.0019309981578678225 0.00037785230724730326 0.0014769636019919996 0.017250103018264854 0.0011476280716944565 0.0008241199544342106 0.0001527611017031545 2.139461778244026e-05 0.0 0.0 0.0002118258114948322 0.0 0.0 0.0 1.5900298479427949e-06
"RX J2129.4 + 0009" 4.3 3.427 4.352238013016337 1e-20 1e+20 1e-20 1e+20 2.4708521753204424 0.1204745381297417 0.417173223688339 0.2240966143462032 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08067656311368343 0.026748168679843736 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00014539376484071898 0.0 0.0 8.684560784315698e-05 0.003498846578138898 0.00011607110283749902 0.00020686073567835415 2.784692668523976e-05 0.0 0.0 0.0 8.400071620255154e-07 0.0 0.0 0.0 0.0
