#z IIP_integral_wide IIP_integral_deep IIP_yield_wide IIP_yield_wide_err IIP_yield_deep IIP_yield_deep_err IIn_integral_wide IIn_integral_deep IIn_yield_wide IIn_yield_wide_err IIn_yield_deep IIn_yield_deep_err IIL_integral_wide IIL_integral_deep IIL_yield_wide IIL_yield_wide_err IIL_yield_deep IIL_yield_deep_err IIb_integral_wide IIb_integral_deep IIb_yield_wide IIb_yield_wide_err IIb_yield_deep IIb_yield_deep_err Ib_integral_wide Ib_integral_deep Ib_yield_wide Ib_yield_wide_err Ib_yield_deep Ib_yield_deep_err Ic_integral_wide Ic_integral_deep Ic_yield_wide Ic_yield_wide_err Ic_yield_deep Ic_yield_deep_err Ic-BL_integral_wide Ic-BL_integral_deep Ic-BL_yield_wide Ic-BL_yield_wide_err Ic-BL_yield_deep Ic-BL_yield_deep_err Ia_integral_wide Ia_integral_deep Ia_yield_wide Ia_yield_wide_err Ia_yield_deep Ia_yield_deep_err 
0.6 7.051072662393888 7.217937551235962 0.0010702450726438062 0.0003981729553714985 0.0010955726126694475 0.0004075957891897261 7.210851762900632 7.276057075584288 9.024800635007899e-05 3.357578214868942e-05 9.106408878619418e-05 3.387939667934272e-05 7.152351709342453 7.264233427615113 0.00015046280184261514 5.5978037194000014e-05 0.00015281643844919894 5.685368191077408e-05 7.110328240819532 7.2449979812417435 0.00020638082256647485 7.678172425526627e-05 0.00021028967893172562 7.823597144673416e-05 7.160534375726938 7.261649098519172 0.00020593130928386254 7.661448776262415e-05 0.00020883928879487015 7.769636968448843e-05 7.185996958747456 7.270269707889995 0.00014351638406045857 5.3393698552072024e-05 0.00014519945187988604 5.401986549727144e-05 7.168499090345715 7.266931940104319 2.0997815277729976e-05 7.812007155356591e-06 2.1286142690545773e-05 7.919276210837393e-06 7.245987291436957 7.303592841839904 0.0007353577990225821 0.00022080066122219373 0.0007412038885963048 0.00022255602499906237 
0.7 22.839248461774762 23.826861168917315 0.004132660165754813 0.0015517728225465813 0.004311364281209064 0.0016188744419676601 23.657751517452812 24.12322138552902 0.0003529753302832055 0.00013253872871079383 0.0003599201737227807 0.00013514644840564692 23.57276370865505 24.080569026650394 0.0005911675996975913 0.00022197755876045213 0.0006039025532509058 0.00022675940726185604 23.28535775268736 23.96980537010845 0.0008057168423549265 0.00030253866722333375 0.0008294000074977177 0.0003114314603750672 23.350444877185993 24.063187090765624 0.0008005564189188305 0.0003006009795065158 0.0008249923710866231 0.0003097764367050641 23.525505518586197 24.07785552726878 0.0005601099105353478 0.00021031570512621632 0.0005732606040965543 0.0002152536598690282 23.458632175672374 24.079097914502437 8.191593641320306e-05 3.075862005610746e-05 8.408256026526562e-05 3.157216578100686e-05 23.87172164684781 24.24855030146349 0.0026613055006321777 0.0007991988196721438 0.00270331571615666 0.0008118146259572033 
0.8 44.34132546511629 47.84694963315355 0.009384512497760842 0.003558860492278111 0.010126451839273758 0.003840223920672198 47.06301637495452 48.534869553332214 0.0008213075343374416 0.0003114619898115413 0.0008469931830261947 0.0003212026812282504 46.7824849959802 48.44806343170406 0.0013722668386323216 0.0005204006322158141 0.0014211231158198492 0.0005389282514953416 45.750626158251784 48.27446830186193 0.001851619435005402 0.0007021840778140947 0.0019537643793790514 0.0007409201983215864 46.303570095353805 48.39298766306368 0.0018568055392712108 0.0007041507885606384 0.001940592644792121 0.0007359251209696851 46.72705276349891 48.52433610673898 0.00130124131277102 0.0004934658353373002 0.0013512915341880678 0.0005124462305015033 46.5090650137931 48.49184587133931 0.00018995839186255036 7.203735048971561e-05 0.00019805672415548346 7.510845672539234e-05 47.752698090914684 48.77890288624356 0.0058168177839627334 0.0017470571987668732 0.005941821114498992 0.0017846014328471147 
0.9 68.4581378338218 75.83669551631104 0.016625490147569682 0.00637215117429428 0.018417419375198963 0.007058954620733382 74.27531607845968 77.4678392668065 0.0014873627041763512 0.0005700704110311181 0.0015512929595191797 0.0005945733428568776 73.54410982352282 77.21630790180787 0.0024754234894439685 0.0009487703854218002 0.002599026119249276 0.000996144305569044 71.04642294776865 76.83063304275832 0.003299462795045809 0.0012646048650219693 0.003568086959575211 0.001367562057276543 72.56687792232003 77.16933508213799 0.003339156044544085 0.001279818334469002 0.0035509375498943983 0.0013609891003251342 73.24813410683223 77.44665277043396 0.002340627753372256 0.0008971064164034322 0.0024747904788383368 0.0009485277676560555 72.90670881785512 77.31996720283827 0.00034169191240454686 0.00013096230556509467 0.0003623755329101401 0.00013888984066472236 75.60684089790011 77.82947953543211 0.010014847381094219 0.003008361386876889 0.010309257073046106 0.0030967991548714728 
1.0 91.04957033696813 104.64412014932715 0.024887567613797935 0.009648478216745809 0.028603513514279102 0.011089085978491118 101.57620817448637 107.27301382006546 0.0022893887855634397 0.0008875563160670048 0.002417786992121018 0.0009373340733096689 100.08445150628947 106.79840405033697 0.0037916077412074797 0.0014699405448205796 0.004045959681563674 0.001568548379623736 94.57288427415446 106.27584801042067 0.004943366712264023 0.0019164575172956081 0.005555085830409833 0.0021536104073564505 96.46430207346465 106.3577091947526 0.004995972952818913 0.0019368520441507499 0.005508361404575277 0.0021354961580312276 99.71932742967337 107.34277217995417 0.003586495585553282 0.0013904221203393495 0.0038606796544628304 0.001496718527336787 98.48088285191864 107.1018100230424 0.0005194865586376639 0.00020139592678108476 0.0005649619408509517 0.0002190259435626299 103.88074818883976 107.8596453558381 0.014898643347664631 0.004476084735352785 0.015469299324269449 0.004647530178163458 
1.1 110.91699361956604 131.13942081110903 0.03346679938357952 0.01313569491304839 0.03956847859235522 0.015530599655062457 126.9480322089598 136.01230056897813 0.003158384985077418 0.0012396638563018886 0.0033838981229405624 0.0013281776022356548 124.74295967733431 135.2476878552605 0.005216561962938117 0.002047496853666527 0.005655853812239419 0.0022199185915230007 113.27968634505525 133.33816069721453 0.006536116294951036 0.002565420988802606 0.007693468732047792 0.003019680995752514 118.6875693504135 134.87705290788327 0.006785318317472157 0.00266323260508636 0.007710864269201862 0.003026508731691212 123.98717493332907 136.18584926910984 0.004922426760462146 0.0019320489962652673 0.005406727503864832 0.002122136692987815 123.089451811549 135.78633705685226 0.0007167286380374425 0.00028131547976242594 0.0007906604098932181 0.00031033364753962477 131.08206625410335 137.00635591885663 0.018708372289959984 0.005623627323660951 0.019553902268003777 0.005877788691299187 
1.2 127.62198896037516 155.94661974843805 0.04169164005152398 0.01658358386787044 0.050944750123134645 0.020264171312297036 148.54462991701726 162.7030008894688 0.004001321330188548 0.0015915960077242186 0.004382702951351433 0.001743297262277957 146.42692247319087 162.20161879354922 0.0066297422022463 0.0026370966864685064 0.007343969942311292 0.0029211933450189872 128.43791187323816 159.32051374932627 0.008023582997225954 0.003191521403112855 0.009952835160462886 0.003958915418118523 135.4479729918501 160.91694721938111 0.008383876664973342 0.0033348345529138064 0.009960339818983428 0.003961900528174672 144.6266152612856 162.75814952156074 0.006216674103922297 0.002472791577740901 0.0069960454478246205 0.0027828002516584105 142.66707457213704 162.23525736378377 0.0008994252102306341 0.00035776221295932213 0.001022790163034157 0.0004068327949427793 156.40415230291032 164.56249062119454 0.022218803350335044 0.006688745064539124 0.023377778429260025 0.007037642739938301 
1.3 137.26757252837635 175.38208742121685 0.04764018832566337 0.01922285772286339 0.06086824090931971 0.024560388528324168 167.36578496985032 185.9042714737167 0.004789555356093415 0.0019325897818998601 0.005320076617320456 0.00214665557554887 163.4571447177588 185.12136070633036 0.007862518132243078 0.0031725329540337774 0.008904597334868892 0.003593012825168964 140.2153575413822 180.1298949404815 0.00930577916387642 0.003754890044614285 0.011954817592885037 0.004823779371313249 148.35472790431388 183.3221232561299 0.00975564093208534 0.003936409662171662 0.012055057729928207 0.004864226354421903 158.86198418208198 185.7443942908894 0.007254573853959972 0.0029272269051790205 0.00848218303000588 0.003422568283116015 158.89095738907753 184.61729860908537 0.0010641982180479646 0.00042940491323458505 0.0012365046030877735 0.0004989306905409039 177.65116904116525 188.72534669568236 0.02512522390309263 0.007581115778181368 0.026691446037256542 0.008053697092451186 
1.4 143.71318895739145 190.51866873249418 0.052035747837531815 0.021317556421890906 0.06898310083040184 0.02826040184337307 182.90041971622043 206.08885885893648 0.005460631605879481 0.0022370644642400136 0.00615294015208288 0.0025206834590342712 176.8840102756506 205.76157914008976 0.008876586420246517 0.0036364833736647465 0.01032575209232932 0.004230165068713061 147.62842063096937 200.49659508225307 0.010221786128595136 0.004187573189284722 0.013882376480646311 0.00568721227607029 160.05503825951772 203.4112845206033 0.010980533049748211 0.004498410084569051 0.013954976717125629 0.005716954514852419 170.617245937658 206.47850409767653 0.008128576722073233 0.0033300452112938117 0.009837085066008739 0.004029972175595976 171.00787753522255 203.73405926853448 0.0011949207982918358 0.0004895248477413901 0.0014235956158817928 0.0005832063749380355 195.22570893383838 209.92009987315657 0.027493532201620423 0.008320656305584656 0.02956293542048776 0.00894694152843612 
1.5 143.80773607517438 204.2329491519936 0.053408487351901665 0.02222904562341995 0.07584969473355643 0.03156925815264954 194.63218432985792 222.81267462820566 0.0059602666217368205 0.0024807113107204928 0.006823244326517447 0.002839889630922062 185.21819056466023 222.5624980968617 0.00953375311687172 0.00396802537396367 0.011455980125175475 0.004768071845690468 147.0959092657883 215.70304926562432 0.010446727491133342 0.0043480127135180876 0.015319195387091455 0.006375973371610857 165.4406234515209 219.50729582766544 0.011641771916965476 0.004845399896360486 0.015446350592872218 0.006428896399592013 174.68200566454215 222.7485842520748 0.008536161164645287 0.003552819512140879 0.010885023944731587 0.004530435252456959 178.13073997655823 219.44846991996124 0.0012766878640884773 0.0005313678440413429 0.0015728177987497799 0.0006546195247091362 209.55314747635748 227.528898352578 0.029391032429346674 0.008927007687045118 0.03191223472722417 0.009692778414829264 
